age,annual_income,gender,city_tier,website_visits_last_30d,pages_per_visit,avg_session_duration_min,cart_additions_last_30d,previous_purchases,email_opened,email_clicked,sms_clicked,ad_clicked,campaign_channel,campaign_type,discount_percentage,product_price,days_since_last_purchase,loyalty_member,converted
56,70076,Male,Tier 1,3,4.68,8.81,1,4,1,0,0,0,Email,Retargeting,25,103.19,22,1,1
69,40354,Male,Tier 1,9,3.28,5.42,2,3,1,1,0,0,Email,Seasonal,20,52.86,83,1,1
46,76847,Female,Tier 1,10,1,4.5,4,0,0,0,0,1,Email,Retargeting,20,65.04,793,0,0
32,52479,Female,Tier 2,4,4.88,3.18,0,2,1,1,0,0,Social,Retargeting,0,49.32,4,0,0
60,70995,Female,Tier 1,5,6.19,6.62,2,3,0,0,0,0,Social,Seasonal,15,86.51,72,1,1
25,68220,Female,Tier 1,5,4.99,6.01,0,4,0,0,0,0,Search Ads,Discount,20,72.23,45,0,0
38,36302,Female,Tier 1,9,3.25,3.55,1,4,0,0,0,0,SMS,New Arrival,10,92.08,116,0,0
56,64052,Male,Tier 1,5,1,5.78,0,1,0,0,0,0,SMS,Discount,10,60.1,74,0,0
36,60873,Male,Tier 2,8,4.22,6.48,0,3,1,1,0,0,Email,Retargeting,15,57.35,114,0,0
40,55546,Male,Tier 1,6,3.01,4.71,0,2,0,0,0,0,Social,New Arrival,25,93.12,28,0,0
28,53301,Male,Tier 1,7,2.65,6.25,1,2,0,0,0,0,Email,Seasonal,10,75.97,85,0,0
28,53454,Female,Tier 2,5,1.08,5.51,0,1,0,0,0,0,SMS,Retargeting,10,165.25,65,0,0
41,69628,Female,Tier 1,9,6.82,5.06,1,1,0,0,0,0,Email,New Arrival,20,99.57,165,0,1
53,65402,Female,Tier 1,3,2.35,3.58,1,2,0,0,0,0,Search Ads,New Arrival,5,84.23,98,0,0
57,55549,Female,Tier 3,3,1.27,5.9,1,1,0,0,0,0,Social,Discount,25,118.92,139,0,0
41,28145,Male,Tier 1,10,6.54,1.35,1,1,1,0,0,0,Social,New Arrival,20,110.06,144,0,0
20,63900,Male,Tier 1,5,4.05,8.38,1,3,1,0,0,0,Email,Retargeting,10,85.5,95,0,0
39,68025,Female,Tier 1,1,3.81,7.87,2,6,1,0,0,0,Social,Discount,20,171.38,172,1,1
19,96407,Female,Tier 1,2,4.46,3.45,2,1,0,0,0,1,Social,Seasonal,10,114.68,171,1,0
41,74358,Female,Tier 2,7,4.65,2.62,1,4,1,0,0,0,Email,Seasonal,20,46.59,155,1,1
61,20815,Female,Tier 2,10,4.32,7.84,4,3,0,0,0,0,Email,Discount,0,69.99,81,1,1
47,56412,Female,Tier 2,7,1.74,5.17,2,2,1,0,0,0,Email,Retargeting,15,26.28,80,1,1
55,87605,Female,Tier 1,7,1.62,5.62,0,4,1,0,0,0,Social,Discount,10,36.07,1,1,1
19,66224,Male,Tier 1,4,2.91,5.55,3,1,1,1,0,0,Email,Retargeting,20,169.5,30,1,0
38,60916,Female,Tier 3,6,3.23,2.87,1,1,0,0,0,0,Email,Retargeting,20,120.55,123,1,0
50,71204,Female,Tier 3,9,3.46,7.07,2,2,1,0,0,0,Email,Seasonal,25,29.47,165,0,0
29,43797,Male,Tier 1,8,4.34,6.4,2,4,0,0,1,0,SMS,Discount,20,79.83,151,0,0
39,63606,Female,Tier 1,4,3.58,5.54,1,4,1,0,0,0,Email,Seasonal,20,69.33,27,0,0
61,50492,Male,Tier 1,11,2.98,0.96,4,5,0,0,0,0,Search Ads,Seasonal,15,159.55,101,1,0
42,54647,Female,Tier 1,9,4.59,6.51,3,2,0,0,0,0,Email,Retargeting,20,10,80,0,1
66,69912,Male,Tier 1,3,5.07,6.26,5,5,1,1,0,0,Email,New Arrival,0,60.96,88,1,1
44,38319,Female,Tier 1,12,2.79,5.31,1,2,1,0,0,0,Social,Retargeting,25,61.27,156,0,0
59,78184,Male,Tier 2,0,1.95,7.43,2,1,0,0,0,0,Search Ads,Retargeting,20,58.61,158,0,0
45,47389,Female,Tier 2,6,4.27,7.76,1,2,0,0,0,0,Search Ads,Seasonal,25,87.73,88,0,1
33,59692,Male,Tier 1,4,3.37,6.17,1,1,1,1,0,0,Email,Discount,20,106.65,95,1,0
32,29791,Male,Tier 1,4,5.25,2.48,1,2,0,0,0,0,Email,Discount,10,64.37,179,0,0
64,67957,Female,Tier 3,8,2.52,2.97,1,2,0,0,0,0,Social,Retargeting,10,77.69,130,0,0
68,81037,Female,Tier 1,12,2.19,4.1,3,1,1,0,0,0,Email,New Arrival,20,51.36,71,1,1
61,45736,Male,Tier 2,4,3.05,5,2,0,0,0,0,0,Social,Retargeting,5,53.79,547,1,0
69,35016,Male,Tier 1,5,4.78,7.18,0,2,0,0,0,0,SMS,Discount,5,92.33,87,0,0
20,60004,Female,Tier 2,6,3.47,6.16,2,5,1,0,0,0,Social,Retargeting,0,97.33,93,0,0
54,81187,Female,Tier 1,8,3.87,5.17,3,2,0,0,0,0,Search Ads,Retargeting,10,24.67,35,1,0
68,28903,Female,Tier 1,11,3.26,6.76,0,4,1,1,0,0,Email,Retargeting,0,58.14,94,1,0
24,35086,Male,Tier 1,6,5.52,3.95,0,5,0,0,0,0,Social,Retargeting,20,70.32,157,0,0
38,46825,Female,Tier 1,5,4.72,6.75,0,1,0,0,0,0,SMS,Seasonal,15,68.44,159,0,0
26,40234,Male,Tier 1,6,1.72,5.96,1,3,0,0,0,0,SMS,Seasonal,10,72.08,114,1,0
56,40291,Male,Tier 2,5,5.35,6.55,1,2,0,0,0,0,Social,Discount,15,10,170,1,1
35,18000,Female,Tier 1,5,4.89,7.19,2,3,0,0,0,1,Search Ads,Retargeting,0,112.17,179,0,0
21,65603,Female,Tier 1,5,5.63,5.4,1,3,1,0,0,0,Search Ads,New Arrival,20,77.69,79,0,0
42,61097,Female,Tier 2,8,3.21,1.52,3,4,1,1,1,1,Social,Discount,15,164.24,16,0,1
31,24421,Male,Tier 2,9,2.59,4.18,2,1,0,1,0,0,SMS,Seasonal,0,98.85,8,1,0
67,81230,Male,Tier 3,6,3.88,7.06,1,4,0,0,0,0,SMS,Retargeting,10,91.48,61,0,0
26,85260,Male,Tier 2,10,4.24,4.37,2,2,0,0,0,1,Search Ads,New Arrival,20,54.29,92,0,0
43,41484,Female,Tier 1,8,5.78,4.17,1,4,0,1,0,0,Email,Retargeting,5,62.55,40,0,1
19,75998,Male,Tier 2,9,4.95,5.62,1,2,0,0,0,0,Social,Retargeting,30,104.07,85,1,1
37,44686,Male,Tier 3,11,4.22,7.69,0,1,1,0,0,1,Social,Seasonal,25,71.7,178,0,0
45,58260,Male,Tier 3,8,3.81,6.42,2,1,1,1,0,0,Social,Discount,20,59.2,27,0,1
64,39956,Female,Tier 1,5,4.02,8.98,1,1,1,0,0,0,Email,Retargeting,0,136.68,85,1,0
24,94857,Male,Tier 1,6,3.41,6.3,1,1,1,1,0,0,Social,Discount,10,91.18,160,1,0
61,49672,Female,Tier 1,5,5.02,6.23,2,3,0,0,0,0,Social,Discount,10,103.82,156,1,0
